Year,January,February,March,April,May,June,July,August,September,October,November,December
1908,37.7,33.7,86.6,74.6,45.5,41.3,58.9,72.7,37.0,56.4,19.1,51.1
1909,22.0,9.4,86.9,44.0,32.2,100.7,76.2,67.1,45.9,124.4,29.2,82.9
1910,50.5,92.5,28.8,37.9,52.9,69.5,48.5,82.6,20.3,69.5,94.7,129.0
1911,32.2,45.3,53.1,38.1,93.7,66.1,16.2,24.1,34.7,83.9,83.0,155.2
1912,95.0,51.0,105.2,3.3,35.9,79.7,81.9,159.4,64.2,66.8,61.1,82.9
1913,80.4,24.2,61.1,77.3,43.7,29.1,30.2,36.7,35.1,85.9,72.7,20.0
1914,21.3,83.2,108.7,27.7,33.7,40.5,36.5,37.2,29.6,58.9,70.3,190.9
1915,96.1,106.6,30.3,27.7,59.4,43.9,111.5,60.6,58.4,60.3,54.9,130.8
1916,49.0,90.6,109.7,32.7,45.4,63.0,40.1,83.3,37.3,86.4,104.1,76.6
1917,40.1,21.4,39.3,47.1,45.6,49.6,102.8,150.2,45.3,114.5,31.0,16.4
1918,65.2,26.4,21.8,103.7,57.0,23.1,80.3,29.2,121.4,41.9,62.3,72.1
1919,98.2,71.7,86.3,83.9,12.0,26.1,65.0,80.8,30.0,25.7,51.6,135.0
1920,73.1,12.5,37.4,110.6,32.2,47.1,118.1,32.1,51.4,36.8,43.6,59.9
1921,58.1,4.8,24.6,37.4,34.9,4.4,4.1,25.7,66.3,18.1,56.2,45.5
1922,73.1,59.6,53.4,81.9,38.2,24.2,106.6,68.6,67.0,16.0,33.4,74.7
1923,36.1,96.4,60.7,36.2,40.5,14.4,95.1,55.4,59.4,117.1,37.3,68.2
1924,68.1,15.5,26.9,75.4,112.9,47.3,107.2,59.3,80.0,100.0,76.9,93.3
1925,48.7,95.1,29.2,40.8,59.3,2.5,107.1,72.9,79.7,71.4,52.0,49.2
1926,85.5,59.1,4.3,71.3,45.9,72.6,66.4,27.2,41.9,62.4,125.6,10.4
1927,55.0,93.1,53.1,43.2,27.6,82.0,73.9,101.9,127.6,47.1,67.0,70.5
1928,93.8,46.6,53.2,19.4,33.0,53.2,59.2,51.4,17.2,90.2,74.1,62.5
1929,38.9,18.7,1.1,36.7,72.3,24.7,33.9,14.2,5.5,104.0,158.8,145.9
1930,77.8,19.2,35.0,55.1,70.3,23.6,54.8,65.9,83.6,26.6,121.0,66.6
1931,39.9,43.0,2.0,81.7,61.9,36.8,96.1,83.3,50.2,14.5,76.1,25.4
1932,47.9,4.2,47.5,53.9,103.6,20.1,63.7,50.6,42.7,111.2,39.6,15.1
1933,47.0,45.9,68.4,22.0,37.9,25.2,34.2,14.2,57.5,33.8,32.9,11.3
1934,49.2,11.5,59.4,47.4,21.3,42.4,27.2,45.0,67.5,48.0,44.6,122.6
1935,21.2,67.3,14.0,91.8,44.4,71.7,23.2,38.3,106.2,70.4,124.2,72.3
1936,98.5,54.0,31.6,31.0,11.3,153.6,116.4,7.5,84.5,41.3,92.1,53.0
1937,108.6,95.5,80.1,68.7,88.4,44.0,42.3,46.3,65.0,61.8,41.9,73.4
1938,78.3,13.2,6.8,2.7,42.1,19.6,29.3,58.7,42.8,78.5,86.3,81.8
1939,126.9,19.9,42.9,69.1,42.6,49.6,51.3,76.7,33.2,111.2,108.6,33.8
1940,86.0,40.6,65.7,45.3,50.1,22.2,58.0,5.4,27.8,80.4,192.4,34.7
1941,54.3,56.6,69.7,36.2,52.8,26.6,135.1,106.2,17.3,25.1,63.9,35.5
1942,70.2,20.0,39.4,39.6,70.0,7.0,52.8,55.7,34.3,96.9,33.6,73.0
1943,115.3,27.2,15.1,25.1,60.3,36.4,38.4,53.8,46.6,82.0,33.0,41.7
1944,37.7,25.5,4.5,46.5,17.1,42.4,37.7,69.0,64.6,88.0,85.5,40.0
1945,45.9,49.6,15.6,33.0,55.8,55.1,68.0,32.1,52.7,72.2,8.9,76.2
1946,61.6,64.3,29.8,24.8,59.1,63.3,51.6,95.1,95.2,37.4,138.0,51.9
1947,37.4,32.9,128.9,53.1,29.4,61.3,38.8,1.7,34.3,1.1,26.3,73.3
1948,127.5,27.1,23.0,35.0,77.1,74.3,23.3,64.7,45.0,55.3,41.9,74.7
1949,37.7,34.0,34.2,47.1,50.1,14.8,27.5,43.1,12.7,154.1,74.2,36.0
1950,24.7,116.6,21.3,46.4,49.6,37.6,137.6,85.2,80.2,12.5,133.2,41.0
1951,85.6,118.7,85.3,70.0,64.1,26.1,31.4,94.9,84.0,29.9,131.4,52.5
1952,45.6,16.7,115.4,48.3,42.1,18.4,12.8,125.4,90.3,71.6,100.6,71.7
1953,29.1,55.2,12.0,63.7,42.1,56.3,96.6,39.3,49.8,74.0,44.9,14.9
1954,27.6,57.2,63.7,7.0,59.0,89.4,87.9,90.3,45.3,48.4,130.4,49.4
1955,66.4,57.4,34.2,11.2,115.8,51.0,5.2,19.1,43.4,77.7,49.2,61.5
1956,114.0,15.2,24.7,27.7,14.1,95.0,61.3,127.7,54.4,43.8,20.3,94.2
1957,33.3,76.3,30.1,7.4,32.3,58.3,63.6,54.1,78.1,60.2,52.3,57.0
1958,70.2,77.5,44.7,31.1,50.2,115.9,48.0,85.6,86.1,61.9,60.0,84.8
1959,80.6,1.3,62.3,58.8,32.1,27.4,111.8,39.9,3.5,55.4,55.9,112.7
1960,67.6,62.2,40.9,14.1,38.9,43.5,77.2,86.5,95.5,158.2,106.4,93.3
1961,70.8,60.8,2.8,73.2,26.2,39.0,34.1,52.5,65.9,76.3,48.6,96.4
1962,99.6,20.3,49.5,59.3,48.5,6.4,63.8,63.7,80.7,30.5,61.5,86.1
1963,29.9,19.7,98.9,56.4,39.7,97.1,39.9,81.4,56.2,41.2,115.3,16.8
1964,23.4,25.5,83.2,83.1,38.8,100.3,31.5,12.9,18.3,21.7,33.0,54.9
1965,58.0,19.6,53.5,50.1,51.2,60.6,104.0,51.3,99.1,21.4,70.0,119.7
1966,32.7,100.3,17.6,85.0,64.8,78.4,76.2,80.4,37.1,87.0,46.8,84.0
1967,47.6,61.1,30.3,48.1,124.5,51.7,53.7,42.1,55.6,150.2,50.9,61.4
1968,62.4,24.8,26.2,63.6,52.6,55.5,83.8,72.4,187.4,52.0,48.7,79.8
1969,72.4,64.9,47.8,37.4,79.0,36.7,50.8,44.0,10.1,6.0,88.3,66.3
1970,75.5,67.0,54.9,75.6,22.7,22.7,49.3,63.7,50.7,22.0,156.2,50.6
1971,86.4,26.7,67.5,36.1,49.1,103.5,15.2,63.6,13.3,73.2,69.0,19.9
1972,84.8,65.8,70.4,54.1,44.0,36.7,29.1,36.0,31.2,28.7,65.8,91.9
1973,21.0,23.0,14.1,59.3,54.7,83.4,54.6,41.0,64.0,30.6,24.7,47.3
1974,91.9,97.0,46.7,19.5,27.2,76.4,30.6,79.2,117.7,103.3,139.3,37.1
1975,98.4,34.2,88.5,52.6,65.9,23.5,18.6,19.1,103.5,18.2,52.4,37.4
1976,27.4,25.4,16.9,20.7,20.2,16.6,41.6,8.9,105.9,122.5,81.7,87.2
1977,73.7,109.0,54.9,30.5,41.9,76.5,7.5,119.3,23.2,49.4,59.9,60.2
1978,103.5,57.8,77.1,57.5,66.4,84.2,58.5,35.2,29.7,5.2,21.5,127.8
1979,75.9,68.7,129.2,92.5,108.2,30.0,24.6,66.5,17.7,79.8,51.7,129.2
1980,32.9,44.2,79.4,29.2,19.1,69.9,80.9,49.2,23.8,96.5,44.8,40.7
1981,40.9,18.4,118.1,50.9,81.9,33.0,62.1,42.3,93.2,71.8,44.8,55.4
1982,57.4,31.4,83.2,21.6,60.0,113.4,42.3,41.6,46.6,126.6,100.1,72.4
1983,68.7,42.8,44.3,118.4,93.2,26.0,35.1,13.5,78.1,41.3,50.1,62.4
1984,96.3,46.4,63.2,6.5,79.1,53.7,13.6,45.1,94.2,88.0,105.8,57.9
1985,58.1,29.2,38.2,30.9,48.9,102.0,48.4,63.5,17.9,22.4,50.5,108.2
1986,85.2,25.9,56.4,84.1,61.7,16.4,44.0,103.6,29.9,87.7,85.4,82.2
1987,15.3,27.9,56.4,47.2,63.6,89.9,61.5,60.4,39.9,198.7,59.0,29.5
1988,136.7,41.9,65.1,29.2,49.8,56.6,94.7,60.2,51.5,70.2,29.5,20.0
1989,38.9,52.9,61.1,97.9,4.2,27.7,46.7,37.9,14.9,63.3,38.5,156.8
1990,96.5,108.5,16.3,26.5,1.5,51.7,14.8,52.1,37.2,91.1,39.0,62.2
1991,83.0,54.4,28.0,73.5,14.6,100.4,73.4,45.5,61.4,28.6,58.6,15.8
1992,24.6,21.4,56.8,63.9,103.1,35.7,62.2,114.2,127.5,70.6,114.4,49.8
1993,89.5,8.2,23.1,89.5,44.7,131.0,58.9,39.3,114.5,123.7,56.2,109.7
1994,103.0,54.2,55.3,65.3,68.5,18.3,23.2,53.5,65.0,88.4,40.8,90.5
1995,127.8,83.8,54.7,11.3,28.4,28.2,18.6,2.0,107.9,30.9,49.8,92.9
1996,52.5,70.6,26.4,25.8,31.4,5.9,47.2,49.2,17.2,46.7,116.3,26.3
1997,12.8,87.7,11.5,15.2,30.7,116.6,42.7,49.1,12.2,53.7,82.2,61.1
1998,69.9,8.9,63.0,115.0,20.3,102.8,39.4,28.6,129.6,115.4,81.3,68.2
1999,111.4,23.9,37.8,48.9,19.3,83.2,23.2,118.7,70.5,46.5,35.6,95.9
2000,25.4,74.6,13.1,132.5,90.4,12.7,48.5,72.6,90.7,166.7,138.6,107.7
2001,76.1,110.4,91.4,83.7,50.1,27.8,56.1,119.2,73.8,115.7,49.0,19.5
2002,69.4,84.0,49.3,55.7,81.0,29.2,93.5,52.3,25.6,89.3,132.9,112.6
2003,96.0,25.6,23.5,37.7,43.2,45.1,39.6,2.3,15.1,37.9,137.4,90.6
2004,90.0,27.0,47.4,82.2,51.6,32.4,49.8,113.4,24.4,126.4,73.6,40.4
2005,33.8,36.2,43.2,65.6,44.4,44.0,39,58.6,65.0,88.4,53.2,51.0
2006,29.2,41.4,49.5,51.0,89.0,15.0,35.6,110.0,54.2,105.0,104.4,95.0
2007,91.6,97.4,57.6,2.8,135.8,72.4,86.8,64.4,29.2,57.1,80.0,67.1
2008,103.2,21.9,108.5,53.5,87.0,35.3,88.2,107.8,66.2,74.3,91.1,42.0
2009,70.4,73.9,37.3,46.7,24.8,68.1,73.3,63.4,15.9,39.1,146.1,105.2
2010,47.3,77.2,45.2,18.7,38.4,23.5,31.65,127.6,59.7,84.9,54.8,35.3
2011,84.6,56.8,10.0,5.2,23.6,83.0,44.6,81.2,38.4,25.2,36.4,82.4
2012,58.0,24.7,34.7,168.6,52.6,166.5,128.444,54.9,40.4,115.8,100.4,114.2
2013,62.7,43.4,83.1,32.8,56.0,24.6,47.395,57.5,50.2,108.8,59.5,123.1
2014,176.2,141.9,28.2,31.5,82.8,30.5,36.876,113.3,14.8,95.7,108.2,64.0
2015,81.9,54.6,26.1,31.0,68.4,26.7,132.585,83.2,45.5,64.6,84.0,81.8
2016,92.3,46.9,84.3,62.0,39.4,84.8,27.07,30.1,70.3,30.1,85.7,26.2
2017,70.2,38.7,40.4,10.9,70.5,39.1,72.6,66.6,86.9,31.2,53.5,110.8
2018,76.1,48.4,87.4,74.8,61.9,3.7,15.1,64.0,51.0,71.0,63.8,75.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
